graph_type,size,probabilities,objective_value,time_ms,iterations,branch_and_bound_nodes
gnp_random_graph,80,0.8,4.0,465,0,0
gnp_random_graph,100,0.5,8.0,216093,0,0
gnp_random_graph,100,0.8,4.0,683,0,0
gnp_random_graph,10,0.5,4.0,27,0,0
gnp_random_graph,10,0.8,2.0,22,0,0
gnp_random_graph,20,0.5,5.0,49,0,0
gnp_random_graph,20,0.8,4.0,48,0,0
gnp_random_graph,40,0.5,5.0,113,0,0
gnp_random_graph,40,0.8,4.0,133,0,0
gnp_random_graph,80,0.5,6.0,5469,0,0
gnp_random_graph,80,0.8,4.0,502,0,0
gnp_random_graph,100,0.5,6.0,28411,0,0
gnp_random_graph,100,0.8,4.0,591,0,0
gnp_random_graph,10,0.5,4.0,23,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,4.0,47,0,0
gnp_random_graph,20,0.8,2.0,43,0,0
gnp_random_graph,40,0.5,6.0,270,0,0
gnp_random_graph,40,0.8,4.0,140,0,0
gnp_random_graph,80,0.5,6.0,5595,0,0
gnp_random_graph,80,0.8,4.0,519,0,0
gnp_random_graph,100,0.5,7.0,33907,0,0
gnp_random_graph,100,0.8,4.0,637,0,0
gnp_random_graph,10,0.5,4.0,18,0,0
gnp_random_graph,10,0.8,3.0,24,0,0
gnp_random_graph,20,0.5,5.0,41,0,0
gnp_random_graph,20,0.8,3.0,33,0,0
gnp_random_graph,40,0.5,6.0,260,0,0
gnp_random_graph,40,0.8,4.0,137,0,0
gnp_random_graph,80,0.5,7.0,18362,0,0
gnp_random_graph,80,0.8,4.0,554,0,0
gnp_random_graph,100,0.5,8.0,162012,0,0
gnp_random_graph,100,0.8,4.0,829,0,0
gnp_random_graph,10,0.5,4.0,17,0,0
gnp_random_graph,10,0.8,2.0,21,0,0
gnp_random_graph,20,0.5,5.0,34,0,0
gnp_random_graph,20,0.8,2.0,35,0,0
gnp_random_graph,40,0.5,5.0,192,0,0
gnp_random_graph,40,0.8,4.0,123,0,0
gnp_random_graph,80,0.5,6.0,7024,0,0
gnp_random_graph,80,0.8,4.0,502,0,0
gnp_random_graph,100,0.5,7.0,36231,0,0
